order,n,mean_P,sd_P,mean_delta,sd_delta,mean_Omega
1,12,0.004638325869679166,0.005920043298773654,0.0,0.0,
2,66,0.008973231982820198,0.007317121529509154,5.790376409681297e-05,8.947646448969918e-05,0.0
3,220,0.013029725667162703,0.008068065320583037,0.0001455060492119244,0.0001584933656576643,0.0006374686822810157
4,495,0.016823179849955995,0.00839578428169149,0.00022724975714085704,0.00022107656596468398,0.0023074564114341106
5,792,0.020351946939883753,0.008419509742709155,0.00026169086912917463,0.0002789318503016978,0.0052218220354164355
6,924,0.02363655112751197,0.008204609839374205,0.00023819864342582533,0.000332520136780341,0.00942602979222014
7,792,0.02675232338692389,0.007790820634118325,0.000207371661635771,0.00037499765670769177,0.0147655701740195
8,495,0.02975528543627853,0.007194232566076532,0.00020541982927112145,0.00040148673935434413,0.020794961792089194
9,220,0.032669609376517486,0.006396974334548882,0.0002413081758125889,0.0003991827030812889,0.026647978170136952
10,66,0.035509994843889274,0.005361435829290735,0.00031774870802776166,0.0003800885776432282,0.03092900187176032
11,12,0.03827951593399669,0.004011333281406676,0.000430584969760345,0.000326374714965785,0.031700426692422005
12,1,0.0409982903967706,,0.0005861604555958,,0.0267766280758161
