scope,order,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
pooled,,R2_xgb_full_crossfit,4083,0.4360790505374072,3.4651780188389927e-189,0.48263981933269995,2.543530688929932e-237
within_order,3.0,R2_xgb_full_crossfit,220,0.013507716856598172,0.8420910009743331,-0.023920479198480806,0.7242178781052316
within_order,4.0,R2_xgb_full_crossfit,495,0.014523821866133328,0.7471991531435658,0.03349252614957199,0.45718727755259553
within_order,5.0,R2_xgb_full_crossfit,792,0.014099120839113915,0.6919741402861501,0.04016463250468763,0.25889645903805675
within_order,6.0,R2_xgb_full_crossfit,924,0.012555538953715752,0.7030891765733375,0.03513029034155796,0.2860837823833038
within_order,7.0,R2_xgb_full_crossfit,792,0.009584918367089627,0.7876806277154194,0.020736915775360572,0.5600754360423553
within_order,8.0,R2_xgb_full_crossfit,495,0.004915560362841115,0.9131323127182971,-0.007900969997744192,0.8608094952574568
within_order,9.0,R2_xgb_full_crossfit,220,-0.002904295625525201,0.9658351730359065,-0.06641384401255473,0.3268157696834868
within_order,10.0,R2_xgb_full_crossfit,66,-0.018798049897724038,0.8809134283054436,-0.1849702536269701,0.1370525375535039
within_order,11.0,R2_xgb_full_crossfit,12,-0.044842186490719096,0.8899415158845905,-0.3846153846153847,0.21702022575997731
pooled,,delta_int_xgb,4083,-0.12221722060222208,4.6334851943394e-15,-0.052681920693592926,0.0007582662883279253
within_order,3.0,delta_int_xgb,220,-0.009456162893439084,0.8890853426847795,0.014735465984458731,0.827951964975775
within_order,4.0,delta_int_xgb,495,-0.06168078712589756,0.1706412460811416,-0.0024655593416204624,0.9563642196007628
within_order,5.0,delta_int_xgb,792,-0.12537699253586004,0.00040498582445821943,-0.07212875136855987,0.04242564199509466
within_order,6.0,delta_int_xgb,924,-0.18841528600674454,7.864244797991101e-09,-0.14586719713480278,8.51502124937555e-06
within_order,7.0,delta_int_xgb,792,-0.2429882549384103,4.1598145954038926e-12,-0.21068672127717536,2.134646639479296e-09
within_order,8.0,delta_int_xgb,495,-0.27376481672121544,5.857900660731544e-10,-0.24831190315061283,2.1615953884910614e-08
within_order,9.0,delta_int_xgb,220,-0.2895918689139121,1.272601788482958e-05,-0.29020021074815594,1.2179599961002769e-05
within_order,10.0,delta_int_xgb,66,-0.30119854772971466,0.013988507215846794,-0.330257801899593,0.00676481483615768
within_order,11.0,delta_int_xgb,12,-0.2597553458284248,0.4148854213077102,-0.3636363636363637,0.24526500073077723
pooled,,Z_P,4082,0.004726621365817456,0.7627316890340411,0.03553289957249288,0.023193181849715874
within_order,3.0,Z_P,220,0.01350771685659823,0.8420910009743331,-0.023920479198480806,0.7242178781052316
within_order,4.0,Z_P,495,0.014523821866133383,0.7471991531435658,0.03349252614957199,0.45718727755259553
within_order,5.0,Z_P,792,0.01409912083911404,0.6919741402861455,0.04016463250468763,0.25889645903805675
within_order,6.0,Z_P,924,0.012555538953715837,0.7030891765733375,0.03513029034155796,0.2860837823833038
within_order,7.0,Z_P,792,0.009584918367089771,0.7876806277154146,0.020736915775360572,0.5600754360423553
within_order,8.0,Z_P,495,0.004915560362841131,0.9131323127182971,-0.007900969997744192,0.8608094952574568
within_order,9.0,Z_P,220,-0.0029042956255253207,0.9658351730359039,-0.06641384401255473,0.3268157696834868
within_order,10.0,Z_P,66,-0.01879804989772532,0.8809134283054353,-0.1849702536269701,0.1370525375535039
within_order,11.0,Z_P,12,-0.04484218649072397,0.8899415158845785,-0.3846153846153847,0.21702022575997731
pooled,,Z_delta,4082,-0.12268537617423332,3.6685415655946125e-15,-0.0677384026513521,1.4810193094578864e-05
within_order,3.0,Z_delta,220,-0.009456162893412445,0.88908534268509,0.014735465984458731,0.827951964975775
within_order,4.0,Z_delta,495,-0.06168078712588613,0.17064124608122025,-0.0024655593416204624,0.9563642196007628
within_order,5.0,Z_delta,792,-0.12537699253584525,0.00040498582445886805,-0.07212875136855987,0.04242564199509466
within_order,6.0,Z_delta,924,-0.18841528600673965,7.864244797998213e-09,-0.14586719713480278,8.51502124937555e-06
within_order,7.0,Z_delta,792,-0.2429882549384103,4.1598145954038926e-12,-0.21068672127717536,2.134646639479296e-09
within_order,8.0,Z_delta,495,-0.27376481672121555,5.857900660731544e-10,-0.24831190315061283,2.1615953884910614e-08
within_order,9.0,Z_delta,220,-0.2895918689139095,1.2726017884832023e-05,-0.29020021074815594,1.2179599961002769e-05
within_order,10.0,Z_delta,66,-0.3011985477297228,0.01398850721584413,-0.330257801899593,0.00676481483615768
within_order,11.0,Z_delta,12,-0.25975534582841786,0.41488542130772305,-0.3636363636363637,0.24526500073077723
size_adjusted,,Z_P,4016,0.010115523893774687,0.5216156016785013,0.0402882091063267,0.010668213490394046
size_adjusted,,Z_delta,4016,-0.17941629184157054,2.1068112326218957e-30,-0.14187844179342474,1.6544288135966107e-19
